"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"18.02.2025","131.090","131.300","131.600","130.300","9,18M","0,13%"
"17.02.2025","130.921","130.450","131.940","130.420","10,33M","0,25%"
"14.02.2025","130.599","127.020","130.940","126.995","12,24M","2,65%"
"13.02.2025","127.231","126.930","127.230","126.035","11,70M","2,16%"
"12.02.2025","124.540","126.650","126.890","124.090","1,66M","-1,64%"
"11.02.2025","126.620","125.750","127.000","125.565","10,47M","0,67%"
"10.02.2025","125.781","125.100","126.490","124.860","11,14M","0,80%"
"07.02.2025","124.786","126.385","126.745","124.320","12,71M","-1,31%"
"06.02.2025","126.446","125.950","126.645","125.400","11,94M","0,50%"
"05.02.2025","125.813","125.550","126.120","124.845","11,38M","0,31%"
"04.02.2025","125.423","126.500","126.535","124.965","11,75M","-0,64%"
"03.02.2025","126.227","125.715","126.900","125.465","12,45M","-0,35%"
"31.01.2025","126.665","127.310","128.015","126.505","12,14M","-0,63%"
"30.01.2025","127.465","124.450","127.740","124.245","14,56M","2,90%"
"29.01.2025","123.869","124.860","125.535","123.750","11,46M","-0,56%"
"28.01.2025","124.571","125.250","125.605","124.485","11,00M","-0,76%"
"27.01.2025","125.530","122.350","125.495","122.190","13,28M","1,94%"
"24.01.2025","123.147","123.350","123.565","122.790","10,22M","0,01%"
"23.01.2025","123.136","123.800","124.730","122.830","13,23M","-0,47%"
"22.01.2025","123.719","124.230","124.770","123.640","11,87M","-0,34%"
"21.01.2025","124.142","123.440","124.310","122.875","11,82M","0,32%"
"20.01.2025","123.740","122.910","124.060","122.245","12,54M","0,53%"